Question,Answer,Source
What is the short title of the continuing appropriations act for fiscal year 2024?,"The short title of the act is the ""Continuing Appropriations Act, 2024 and Other Extensions Act"".","PLAW-118publ15, Page 1"
"Under Section 106, on what date does the continuing appropriations authority provided by Public Law 118-15 expire?","The continuing appropriations authority expires on November 17, 2023, unless earlier superseded by the enactment of full-year appropriations.","PLAW-118publ15, Pages 4, 6"
What is the name of the Act that establishes a pilot program for Good Samaritan remediation of abandoned hardrock mines?,"The Act is the ""Good Samaritan Remediation of Abandoned Hardrock Mines Act of 2024"".","PLAW-118publ155, Page 2"
"According to the Good Samaritan Act, what is a key condition for a mine site to be considered an ""abandoned hardrock mine site""?","The site must be one for which the Administrator (or Federal land management agency) determines, based on information supplied by the Good Samaritan, that no responsible owner or operator has been identified.","PLAW-118publ155, Page 2"
"Under the Good Samaritan Act, what is the maximum number of Good Samaritan permits the Administrator is authorized to grant?",The Administrator may grant not more than 15 Good Samaritan permits as part of the pilot program.,"PLAW-118publ155, Page 6"
What is the official short title of the Fiscal Responsibility Act of 2023?,"The official short title is the ""Fiscal Responsibility Act of 2023"".","PLAW-118publ5, Page 2"
"According to the Fiscal Responsibility Act, what are the revised discretionary spending limits for the ""revised nonsecurity category"" for fiscal year 2024?","For fiscal year 2024, the revised nonsecurity category limit is set at $703,651,000,000 in new budget authority.","PLAW-118publ5, Page 4"
"Under the Fiscal Responsibility Act, what is the new budget authority amount for the ""revised security category"" for fiscal year 2025?","For fiscal year 2025, the revised security category limit is set at $895,212,000,000.","PLAW-118publ5, Page 5"
"What is the short title of the ""American Relief Act, 2025""?","The short title of the act is the ""American Relief Act, 2025"".","PLAW-118publ158, Page 2"
"Under division A of the American Relief Act, what is the amended expiration date for the continuing appropriations for fiscal year 2025?","The date specified in section 106(3) of the Continuing Appropriations Act, 2025 (Public Law 118-83), is amended to ""March 14, 2025"".","PLAW-118publ158, Page 3"
"For the 2024 crop year, what is the formula used to determine if a producer is eligible for a one-time economic assistance payment under the American Relief Act?",The Secretary makes a payment if the expected gross return per acre for an eligible commodity is less than the expected cost of production per acre for that commodity.,"PLAW-118publ158, Page 11"
"What is the total amount appropriated to the ""Disaster Relief Fund"" under the American Relief Act?","A total of $29,000,000,000 is appropriated, with $28,000,000,000 specifically for major disasters.","PLAW-118publ158, Page 25"
What is the official short title of the Senator Elizabeth Dole 21st Century Veterans Healthcare and Benefits Improvement Act?,"The short title is the ""Senator Elizabeth Dole 21st Century Veterans Healthcare and Benefits Improvement Act"".","PLAW-118publ210, Page 2"
"Under Title I of the Veterans Healthcare Act, what is the requirement for the Secretary regarding eligibility determinations for the Veterans Community Care Program?","During a specified two-year period, the Secretary must implement section 1703(d)(1)(E) so that the eligibility determination is final and made by the veteran and the veteran's referring clinician.","PLAW-118publ210, Page 5"
What is the purpose of the pilot program to furnish assisted living services under the Veterans Healthcare Act?,The purpose is to assess the effectiveness of providing assisted living services to eligible veterans and the satisfaction of those veterans participating in the program.,"PLAW-118publ210, Page 30"
"Under the Pilot Program for Assisted Living, how many eligible veterans may participate in each selected Veterans Integrated Service Network?",Not more than 60 eligible veterans may participate in the pilot program in each selected Veterans Integrated Service Network.,"PLAW-118publ210, Page 31"
"What does the ""Supporting America's Children and Families Act"" require regarding the use of technology in the context of child welfare?","The Act amends section 431 of the Social Security Act to allow services to include access to an electronic or digital portal to facilitate the provision of community support, with limitations on retaining personally identifiable information.","PLAW-118publ258, Page 5"
"What is the new definition of ""family resource center"" under the Protecting America's Children by Strengthening Families Act?","A family resource center is defined as a community or school-based hub of support services that uses a multi-generational, strengths-based, and family-centered approach, is responsive to community needs, provides low- or no-cost support, and builds communities of peer support.","PLAW-118publ258, Page 5"
"According to the amended Section 438, what are the new activities under the court improvement program that relate to technology?",New activities include determining best practices for using technology to conduct remote hearings and ensuring continuity of court services during emergencies like public health crises or natural disasters.,"PLAW-118publ258, Page 2"
What is the objective of the pilot program established in Section 105 of the Protecting America's Children by Strengthening Families Act?,The objective is to authorize the Secretary to make competitive grants to support the timely evaluation of services and programs described in section 471(e) or kinship navigator programs.,"PLAW-118publ258, Page 10"
What is the title of the act that makes continuing appropriations and extensions for fiscal year 2025?,"The act is titled the ""Continuing Appropriations and Extensions Act, 2025"".","PLAW-118publ83, Page 2"
"Under the Continuing Appropriations and Extensions Act, what is the deadline for the Director of the Office of Management and Budget to provide a list of rescissions to Congress?","The deadline is November 18, 2024.","PLAW-118publ83, Page 6"
"According to Section 126 of the Act, what is the specific amount and purpose of the Federal payment to the District of Columbia?","The Federal payment is $47,000,000 for emergency planning and security costs related to the Presidential Inauguration in January 2025.","PLAW-118publ83, Page 7"
"What is the title of the ""Reforming Intelligence and Securing America Act""?","The title is the ""Reforming Intelligence and Securing America Act"".","PLAW-118publ49, Page 2"
"According to the Reforming Intelligence and Securing America Act, what is the requirement for FBI personnel to query unminimized contents or noncontents acquired under section 702 using a United States person query term?","FBI personnel must obtain prior approval from a supervisor (or equivalent) or attorney who is authorized to access such information, with an exception for threats to life or serious bodily harm.","PLAW-118publ49, Page 2"
"Under the same Act, what restrictions are imposed on the political involvement in the approval process for FBI queries?","The procedures shall prohibit political personnel (such as PAS, PA, Noncareer SES, or Schedule C appointees) from inclusion in the FBI's prior approval process for queries.","PLAW-118publ49, Page 3"
"What is the purpose of Title I of the Department of State Authorities Act, Fiscal Year 2017?","The purpose of Title I is to address ""Embassy Security and Personnel Protection"".","STATUTE-130-Pg1905, Page 1"
"According to the Ensuring Access to Pacific Fisheries Act, what is the purpose of the North Pacific Fisheries Convention?",The purpose is to provide for the conservation and management of high seas fisheries resources in the North Pacific Ocean.,"STATUTE-130-Pg1974, Page 1"
"What is the official short title of the ""American Innovation and Competitiveness Act""?","The short title is the ""American Innovation and Competitiveness Act"".","STATUTE-130-Pg2969, Page 1"
"According to the American Innovation and Competitiveness Act, what are the two primary criteria the National Science Foundation must use for evaluating grant proposals?","The Foundation must maintain the ""intellectual merit"" and ""broader impacts"" criteria as the basis for evaluating grant proposals.","STATUTE-130-Pg2969, Page 3"
"What is the short title of the ""Pesticide Registration Improvement Extension Act of 2018""?","The short title is the ""Pesticide Registration Improvement Extension Act of 2018"".","STATUTE-133-Pg484, Page 1"
"Under the Pesticide Registration Improvement Extension Act, what is the total average aggregate amount of maintenance fees authorized for each of fiscal years 2019 through 2023?","The Act authorizes an average aggregate amount of $31,000,000.","STATUTE-133-Pg484, Page 1"
"What was the primary purpose of the ""Additional Supplemental Appropriations for Disaster Relief Act, 2019""?","The Act provided additional supplemental appropriations for the fiscal year ending September 30, 2019, for disaster relief.","STATUTE-133-Pg871, Page 1"
"According to the ""Public Law 114-323,"" what is the requirement for the Secretary to designate ""high risk, high threat posts""?","The Secretary must submit a report containing a list of posts designated as high risk, high threat to the appropriate congressional committees no later than 30 days after the enactment of the section.","STATUTE-130-Pg1905, Page 3"
"As per the ""Good Samaritan Remediation of Abandoned Hardrock Mines Act of 2024,"" what is the maximum number of investigative sampling permits that the Administrator can grant?",The Administrator may grant not more than 15 investigative sampling permits.,"PLAW-118publ155, Page 10"
"Under the ""Good Samaritan Act,"" what happens if the Administrator fails to grant or deny a Good Samaritan permit by the applicable deadline?",The application shall be considered to be denied.,"PLAW-118publ155, Page 18"
"What is the purpose of the ""Department of State Authorities Act, Fiscal Year 2017""?",The purpose is to authorize the Department of State for fiscal year 2016 and for other purposes.,"STATUTE-130-Pg1905, Page 1"
"According to the ""Reforming Intelligence and Securing America Act,"" what is the requirement regarding a certification by the applicant that the Attorney General has been apprised of information that might call into question the accuracy of the application?","The application must include a certification by the applicant or declarant that, to the best of their knowledge, the Attorney General or a designated attorney has been apprised of all such information.","PLAW-118publ49, Page 15"
"According to the ""Department of State Authorities Act, Fiscal Year 2017,"" what is the requirement for the Assistant Secretary for Diplomatic Security reporting?","The Assistant Secretary for Diplomatic Security shall report directly to the Secretary, without needing approval from another Department official, as threats and circumstances require.","STATUTE-130-Pg1905, Page 5"
"According to the ""Ensuring Access to Pacific Fisheries Act,"" what is the term for a stock of fisheries resources that migrates between the exclusive economic zone of a party to the North Pacific Fisheries Convention and the Convention Area?","It is termed a ""straddling stock"".","STATUTE-130-Pg1974, Page 3"
"What was the relationship between the Government and the mine workers during the operation of the seized coal mines, according to the court in United States v. United Mine Workers?","The court held that when the Government seized and operated the bituminous coal mines, the relationship between the Government and the mine workers was that of employer and employee. The Government had taken actual possession and was operating the mines, making the relationship akin to that between a private employer and its employees.",104385
What is the holding of the court regarding the applicability of the Norris-LaGuardia Act to the Government in United States v. United Mine Workers?,The court held that the Norris-LaGuardia Act did not apply to the United States in this case because the Government was not a private employer but was operating the mines in its sovereign capacity after seizure. The court found that the Act did not prohibit the Government from seeking injunctive relief in a labor dispute when the Government is the employer.,104385
"According to the court in United States v. United Mine Workers, what was the basis for finding the defendants in criminal contempt?","The court affirmed the criminal contempt convictions because the defendants had willfully disobeyed a temporary restraining order and a preliminary injunction issued by the District Court. The court noted that the defendants acted at their peril in disobeying the orders and that the violation of the orders was punishable as criminal contempt, even if the underlying orders were later found to have been issued in error.",104385
What was the court's decision regarding the fines imposed on the defendant union in United States v. United Mine Workers?,"A majority of the court found the $3,500,000 fine imposed on the defendant union to be excessive. The court modified the judgment, requiring the union to pay a fine of $700,000 and an additional $2,800,000 unless the union fully complied with the temporary restraining order and preliminary injunction within five days after the issuance of the mandate.",104385
"In United States v. United Mine Workers, what did the court say about the requirement to have the full opportunity to decide the question of jurisdiction?","The court, citing United States v. Shipp, stated that a court has the authority to make orders to preserve existing conditions while it determines its own jurisdiction. The District Court had the power to grant injunctive relief and maintain the status quo pending a decision on the applicability of the Norris-LaGuardia Act.",104385
What is the constitutional issue addressed in the case of Speiser v. Randall?,The case addresses whether a California law that required applicants for a property-tax exemption to sign an oath that they did not advocate the overthrow of the government violated the Due Process Clause of the Fourteenth Amendment. The Court held that the law's requirement to execute the oath was a violation of due process because it placed the burden of proof on the taxpayer to show non-advocacy and effectively penalized speech.,105751
What was the California Supreme Court's construction of the tax oath in Speiser v. Randall?,"The California Supreme Court construed the tax oath provisions as reaching only advocacy of the violent overthrow of the government, which could be constitutionally punished under the Smith Act or California's Criminal Syndicalism Act. The court defined the advocacy proscribed as 'advocacy of action,' not mere abstract doctrine.",105751
